case,electron_channel_strength,electron_channel_duty,rf_grating_duty,electron_channel_effective,rf_grating_effective,channel_separation_effective,channel_cross_talk,electron_exhaust_fraction_proxy,electron_energy_conversion_efficiency,return_to_fast_protons_efficiency,boron_drag_recovery_efficiency,electron_return_fraction_of_electron_drag,returned_electron_drag_over_Pfusion,returned_boron_drag_over_Pfusion,total_returned_drag_over_Pfusion,fast_loop_deficit_before_recovery_over_Pfusion,residual_fast_loop_deficit_over_Pfusion,routing_gate_pass
selected_current,0,0.35,0.1,0.0,0.5555480479109447,0.8767658905009542,0.030518484483862934,0.2958925866530309,0.92,0.95,0,0.25861012073474904,1.650080358553358,0.0,1.650080358553358,4.7087322367181885,3.0586518781648304,False
strong_channel_selected_rf,0.85,1,0.1,0.85,0.5555480479109447,0.8756325571676209,0.03505181781719626,0.6079494095618716,0.92,0.95,0,0.5313477839570758,3.390302511662739,0.0,3.390302511662739,4.7087322367181885,1.3184297250554495,False
max_repo_controls,0.85,1,1,0.85,1.0,0.9718565061481037,0.05905181781719626,0.6838665545568094,0.92,0.95,0,0.5976993686826515,3.8136635402392596,0.0,3.8136635402392596,4.7087322367181885,0.895068696478929,False
max_repo_controls_perfect_conversion_return,0.85,1,1,0.85,1.0,0.9718565061481037,0.05905181781719626,0.6838665545568094,1,1,0,0.6838665545568094,4.363459428191373,0.0,4.363459428191373,4.7087322367181885,0.34527280852681574,False
hypothetical_exhaust_clamp_ceiling,,,,,,,,0.85,0.92,0.95,0,0.7429,4.740126546039599,0,4.740126546039599,4.7087322367181885,-0.03139430932141085,True
