category,density_mode,density_multiplier,pitch_deg,r_center_over_a,qstar,rho_L_m,passing_orbit_halfwidth_m,trapped_orbit_halfwidth_m,required_reaction_sheet_full_width_m,lcfs_clearance_after_orbit_and_margin_m,reaction_channel_volume_fraction,burn23_residence_s,toroidal_turns_for_burn23,allowed_3pct_wall_loss_per_turn,classical_radial_diffusion_m2_s,max_radial_diffusion_for_3pct_wall_loss_m2_s,diffusion_margin_ratio,added_betaN,total_betaN_screen,betaN_gate,additional_proton_wall_flux_if_3pct_loss_MW_m2,clearance_pass,diffusion_lower_bound_pass,mhd_betaN_pass,physical_compression_interpretation,combined_geometry_pass,case,electron_channel_strength,electron_channel_duty,rf_grating_duty,electron_channel_effective,rf_grating_effective,channel_separation_effective,channel_cross_talk,electron_exhaust_fraction_proxy,electron_energy_conversion_efficiency,return_to_fast_protons_efficiency,boron_drag_recovery_efficiency,electron_return_fraction_of_electron_drag,returned_electron_drag_over_Pfusion,returned_boron_drag_over_Pfusion,total_returned_drag_over_Pfusion,fast_loop_deficit_before_recovery_over_Pfusion,residual_fast_loop_deficit_over_Pfusion,routing_gate_pass
best_physical_geometry,selected_10pct_isotropic_linear_upper,1.371742112482853,5.0,0.8,3.4916259740259736,0.0013366836284474837,0.004667199276142518,0.008158333161652667,0.029334398552285035,0.34533280072385736,0.026075020935364474,7.515990000000001,2248614.2128767483,1.3545768460540328e-08,3.855679512971113e-06,0.000483290287555406,125.34503605124374,0.14740151610292362,1.3004015161029236,2.7,0.00012214612149622202,True,True,True,True,True,,,,,,,,,,,,,,,,,,,
selected_routing,,,,,,,,,,,,,,,,,,,,,,,,,,,selected_current,0,0.35,0.1,0.0,0.5555480479109447,0.8767658905009542,0.030518484483862934,0.2958925866530309,0.92,0.95,0,0.25861012073474904,1.650080358553358,0.0,1.650080358553358,4.7087322367181885,3.0586518781648304,False
best_repo_routing,,,,,,,,,,,,,,,,,,,,,,,,,,,repo_search,0.85,1.0,1.0,0.85,1.0,0.9718565061481037,0.05905181781719626,0.6838665545568094,0.92,0.95,0,0.5976993686826515,3.8136635402392596,0.0,3.8136635402392596,4.7087322367181885,0.895068696478929,False
