target_keV,mean_sigma_v_proxy,mean_sigma_barn
500.0,20.090414632621687,0.8973420487341144
550.0,24.583190748530786,1.0475909640056198
580.0,26.119447187030868,1.084691644181235
590.0,26.368668891416693,1.0859488877840477
598.0,26.45670475707606,1.0823913180893447
600.0,26.462742085034797,1.0809306953676316
602.0,26.459633331918628,1.078873414718364
610.0,26.387481933332033,1.069138489610228
620.0,26.133233684365173,1.0505606644810652
650.0,24.211866940228354,0.9517696570627462
674.0,21.477208090528304,0.8298981582371092
700.0,18.092000663409873,0.6865258981226674
