edge_drive,spin,tct_gain,residual_instability,event_amplitude,event_frequency,heat_pulse_severity,target_heat_flux_proxy,damage_index
0.7,0.45,0.6,0.14774213086655613,0.41593583555980107,0.8125,0.39253944480956227,0.34863207970821586,0.44236131855772404
0.7,0.3,0.6,0.20413475511064744,0.5174425591991654,0.835,0.49182915251880666,0.4470126824291617,0.5298598386140921
0.7,0.45,0.4,0.22707253825945217,0.5587305688670139,0.8625,0.5356829329012496,0.4909823160382911,0.5712953079071746
0.7,0.15,0.6,0.27062213140711616,0.6371198365328091,0.8575,0.6098829635210314,0.5690907080375439,0.6347878423478305
0.7,0.3,0.4,0.2834651625035435,0.6602372925063783,0.885,0.6374591059149083,0.5971499412151573,0.6624974906177469
0.85,0.45,0.6,0.29774213086655615,0.6859358355598011,0.9475000000000001,0.6751323461497342,0.6342074710208119,0.7037100316885974
0.7,0.0,0.6,0.34306040631242457,0.7675087313623643,0.88,0.7398784170333191,0.7097166641701486,0.7518481286193701
0.7,0.15,0.4,0.3499525388000122,0.779914569840022,0.9075000000000001,0.7582719405269615,0.7282708996713185,0.7716558371912243
0.7,0.45,0.2,0.3493354091931471,0.7788037365476648,0.9125,0.7583601384632885,0.7279951627827518,0.7723716249896342
0.85,0.3,0.6,0.35413475511064746,0.7874425591991655,0.9700000000000001,0.780355576166373,0.7482976177407247,0.7991848522137226
0.85,0.45,0.4,0.3770725382594522,0.828730568867014,0.9974999999999999,0.8281090209403638,0.79984608790722,0.845038787889366
0.7,0.3,0.2,0.4057280334372384,0.8803104601870292,0.9349999999999999,0.8631444062133821,0.8455048262336455,0.8686308712874538
0.7,0.0,0.4,0.4223908137053206,0.9103034646695771,0.93,0.891187091911516,0.8786801530871001,0.8932569464774638
0.85,0.15,0.6,0.4206221314071162,0.9071198365328091,0.9925000000000002,0.9050788169006102,0.8886363330867503,0.9132592492213607
0.85,0.3,0.4,0.4334651625035435,0.9302372925063783,1.02,0.9358187162614165,0.9217232570830528,0.944217271068695
0.7,0.15,0.2,0.4722154097337071,0.9999877375206728,0.9575,0.9872378938672842,0.9897854101321703,0.9835414646666574
1.0,0.45,0.6,0.4477421308665562,0.9559358355598011,1.0825,0.9795952474899062,0.966438862333408,0.9910840448194709
0.7,0.45,0.0,0.5046817245541315,1.0584271041974367,0.9625,1.0465197992752155,1.0612694264001268,1.0383417175214065
0.85,0.0,0.6,0.4930604063124246,1.0375087313623643,1.0150000000000001,1.042177520653495,1.0490268900534245,1.0401557033754496
0.85,0.15,0.4,0.4999525388000122,1.049914569840022,1.0425,1.0633009806054825,1.0711049052768578,1.0625220109160727
0.85,0.45,0.2,0.4993354091931471,1.0488037365476648,1.0474999999999999,1.0637491897934688,1.0709972073940437,1.063486216604621
1.0,0.3,0.6,0.5041347551106474,1.0574425591991654,1.1050000000000002,1.0907519998139392,1.0962385530522876,1.0945351658133529
0.7,0.0,0.2,0.5446536846390155,1.130376632350228,0.98,1.1235943725561266,1.15442576423759,1.1113046341771466
0.7,0.3,0.0,0.5610743487982228,1.159933827836801,0.985,1.1547141256115354,1.1928605974812552,1.140700948330721
1.0,0.45,0.4,0.5270725382594522,1.098730568867014,1.1324999999999998,1.1424051089794778,1.1553658597761487,1.1448075678715575
0.85,0.3,0.2,0.5557280334372384,1.150310460187029,1.07,1.1744669798509566,1.2042164148439043,1.1677217633711974
0.85,0.0,0.4,0.5723908137053206,1.1803034646695771,1.065,1.2033193822306336,1.2412787595267085,1.193959288084861
1.0,0.15,0.6,0.5706221314071163,1.1771198365328093,1.1275000000000002,1.2221446702801895,1.2548379581359572,1.2177559560948914
1.0,0.3,0.4,0.5834651625035435,1.2002372925063782,1.155,1.2560483266079248,1.2929525729509481,1.251962351519643
0.7,0.15,0.0,0.6275617250946915,1.2796111051704446,1.0075,1.2824902301570782,1.3534731002207678,1.2625365566526234
0.85,0.15,0.2,0.6222154097337071,1.2699877375206727,1.0925,1.3052298972368712,1.3667576884800723,1.291778750024301
1.15,0.45,0.6,0.597742130866556,1.225935835559801,1.2175000000000002,1.305928148830078,1.345326253646004,1.3044833579503443
0.85,0.45,0.0,0.6546817245541315,1.3284271041974367,1.0975000000000001,1.3672835969952117,1.446770591829447,1.3506621558962006
1.0,0.0,0.6,0.6430604063124246,1.3075087313623641,1.1500000000000001,1.3663466242736704,1.4349931159367002,1.354488578131529
1.0,0.15,0.4,0.6499525388000122,1.319914569840022,1.1775,1.3902000206840033,1.460594910882397,1.379413484640921
1.0,0.45,0.2,0.6493354091931471,1.3188037365476648,1.1825,1.3910082411236493,1.460655252005336,1.380626108219608
0.7,0.0,0.0,0.7,1.41,1.03,1.4226899999999998,1.5357719999999997,1.3977111
1.15,0.3,0.6,0.6541347551106473,1.3274425591991652,1.2400000000000002,1.423018423461505,1.49083548836385,1.4159107794129828
0.85,0.0,0.2,0.6946536846390156,1.400376632350228,1.115,1.448689626166311,1.551162643419562,1.4293780874173396
0.85,0.3,0.0,0.7110743487982228,1.429933827836801,1.12,1.4814114456389258,1.5940713069095418,1.4609976871742718
1.15,0.45,0.4,0.6770725382594521,1.3687305688670137,1.2675,1.4785711970185915,1.5575416316450772,1.4706016478537487
1.0,0.3,0.2,0.7057280334372384,1.4203104601870291,1.205,1.5076595534885313,1.6095840034541633,1.4928379554549411
1.0,0.0,0.4,0.7223908137053207,1.4503034646695772,1.2,1.5373216725497518,1.6505333659663173,1.5206869296922587
1.15,0.15,0.6,0.7206221314071162,1.447119836532809,1.2625000000000002,1.5610805236597676,1.667695583185163,1.5482779629684211
1.15,0.3,0.4,0.7334651625035434,1.470237292506378,1.29,1.598147936954433,1.7108378888188434,1.5857327319705912
0.85,0.15,0.0,0.7775617250946916,1.5496111051704449,1.1425,1.6158569799164813,1.7729444993866985,1.5919796887700743
1.0,0.15,0.2,0.7722154097337072,1.5399877375206728,1.2275,1.6450919006064586,1.7903859668279751,1.626041335381945
1.0,0.45,0.0,0.8046817245541316,1.5984271041974367,1.2325,1.709917394715208,1.878927757258767,1.6890078942709945
1.15,0.0,0.6,0.7930604063124245,1.577508731362364,1.2850000000000001,1.712385727893846,1.8676153418199757,1.694846752887608
1.15,0.15,0.4,0.7999525388000123,1.589914569840022,1.3125,1.738969060762524,1.8967409164879359,1.722330258365769
1.15,0.45,0.2,0.799335409193147,1.5888037365476646,1.3175,1.7401372924538294,1.8969692966166276,1.7237912998345943
0.85,0.0,0.0,0.85,1.68,1.165,1.7631599999999998,1.9750079999999999,1.7369903999999998
1.0,0.0,0.2,0.8446536846390156,1.670376632350228,1.25,1.795654879776495,1.994555522601534,1.7734768406575325
1.0,0.3,0.0,0.8610743487982229,1.699933827836801,1.2550000000000001,1.8299787656663162,2.041938016337829,1.8073197260178224
1.15,0.3,0.2,0.8557280334372384,1.690310460187029,1.34,1.8627221271261056,2.061607592064422,1.8439794475386848
1.15,0.0,0.4,0.8723908137053206,1.720303464669577,1.335,1.8931939628688692,2.1064439724059256,1.8734398712996558
1.0,0.15,0.0,0.9275617250946916,1.8196111051704449,1.2775,1.9710937296758846,2.2390718985526292,1.9474481208875254
