edge_drive,v_tor,v_pol,tct_gain,edge_shear,residual_instability,stability_margin,stability_window_shift,event_amplitude,event_frequency,heat_pulse_severity,wetted_fraction,peak_heat_flux,divertor_load_proxy,freq_severity_product,damage_index
0.7,0.6,0.3,0.6,9.937499999999998,-0.08363559306280322,0.08363559306280322,0.3680187765999527,0.1,1.0035628488332726,0.10009975976733164,0.41435129551690214,0.24158186748869087,0.19206312978621515,0.10045640007962954,0.26304889147853083
0.7,0.6,0.3,0.4,9.937499999999998,-0.00430518566990723,0.00430518566990723,0.2980187765999527,0.1,0.9875628488332726,0.09965175976733164,0.3943512955169022,0.2526979393758844,0.19913177651289096,0.09841237576707493,0.2638045130446889
0.7,0.6,0.2,0.6,9.125,-0.06155456674543447,0.06155456674543447,0.3662380522311791,0.1,1.009782124464499,0.10027389948500598,0.4099307845767379,0.24461178144632603,0.19409352275986402,0.10125479125030898,0.26496041289757505
0.7,0.6,0.1,0.6,8.3125,-0.03463239986128297,0.03463239986128297,0.36390275766287616,0.1,1.015446829896196,0.1004325112370935,0.4045613160221478,0.24825040669878407,0.19651414328719238,0.10198387515422068,0.26696515098890206
0.7,0.4,0.3,0.6,7.437499999999999,-0.04131511001253396,0.04131511001253396,0.3464899127791883,0.1,1.016137168549023,0.10045184071937263,0.39754099192198544,0.252682975493218,0.1994020783223721,0.10207284900412077,0.26840620421806793
0.7,0.6,0.0,0.6,7.5,-0.004064107882645551,0.004064107882645551,0.3608612565552808,0.1,1.0204053287886008,0.10057134920608082,0.39808901721740386,0.2526353274176286,0.1994129350435869,0.10262354065334409,0.26907993722601103
0.7,0.4,0.2,0.6,6.625,-0.014997111931461582,0.014997111931461582,0.3424880049458703,0.1,1.020135260715705,0.10056378730003974,0.38970818949175584,0.2580489453690763,0.20292914004491353,0.10258866537588475,0.2706604876380945
0.7,0.6,0.2,0.4,9.125,0.017775840647461627,-0.017775840647461627,0.29623805223117916,0.132885305197804,0.9937821244644991,0.13265395119710324,0.3876288132128916,0.3422190164286051,0.2688712435975794,0.13182912543926725,0.3074609801742169
0.7,0.4,0.1,0.6,5.8125,0.01768123073689476,-0.01768123073689476,0.33738715993511253,0.13271027686325532,1.0230344157049474,0.13356620989521967,0.37817488092488916,0.35318636068202475,0.27631930790664294,0.1366428294980804,0.31548973912897166
0.7,0.4,0.3,0.4,7.437499999999999,0.03801529738036202,-0.03801529738036202,0.2764899127791883,0.17032830015366973,1.0001371685490228,0.1703348419856908,0.37261801091122854,0.4571299212540504,0.3567516435101245,0.170358206568814,0.3609957830598991
0.7,0.2,0.3,0.6,4.9375,0.03650709277720887,-0.03650709277720887,0.30869470112460046,0.16753812163783643,1.0200775783937588,0.16847997437375195,0.3640778390369829,0.46275811463668304,0.3597607655446572,0.17186264426701942,0.3647071248161508
0.7,0.6,0.1,0.4,8.3125,0.044698007531613015,-0.044698007531613015,0.2939027576628761,0.1826913139334841,0.999446829896196,0.18266301730901813,0.37877292404680396,0.48224940515137493,0.37739416940655,0.18256197358877216,0.3743617540831911
0.7,0.4,0.0,0.6,5.0,0.055906947007214214,-0.055906947007214214,0.33098253125006766,0.2034278519633463,1.0246297870199024,0.20483075967032288,0.36245889470131193,0.5651144520514962,0.4390151597180856,0.20987569765612774,0.41354714958764555
0.7,0.4,0.2,0.4,6.625,0.0643332954614344,-0.0643332954614344,0.2724880049458703,0.21901659660365366,1.004135260715705,0.21927019000749995,0.36137702772950014,0.6067629461262525,0.4711404814846891,0.22017692941036315,0.43000724326744666
0.85,0.6,0.3,0.6,9.937499999999998,0.06636440693719681,-0.06636440693719681,0.3680187765999527,0.2227741528338141,1.1310628488332723,0.2309494290665233,0.40575710481853516,0.5691814790767736,0.45080026157318603,0.2612183191763996,0.4427483037152118
0.7,0.6,0.0,0.4,7.5,0.07526629951025043,-0.07526629951025043,0.2908612565552808,0.2392426540939633,1.0044053287886006,0.23953775800839489,0.36834203143082644,0.6503133977893027,0.506541923865985,0.2405930005897061,0.4528598667849764
0.7,0.2,0.2,0.6,4.125,0.07289990998179463,-0.07289990998179463,0.3006824454514582,0.2348648334663201,1.0200653227206167,0.23618437229650327,0.3468948222937515,0.6808529765154628,0.525218965038827,0.24092348794819887,0.4626744267786018
0.85,0.6,0.2,0.6,9.125,0.08844543325456555,-0.08844543325456555,0.3662380522311791,0.26362405152094626,1.1372821244644988,0.27375749507971175,0.39847710097027167,0.6870093523897008,0.5423712023312047,0.3113395055923342,0.49946493740665465
0.7,0.4,0.1,0.4,5.8125,0.09701163812979086,-0.09701163812979086,0.26738715993511253,0.2794715305401131,1.0070344157049473,0.28002198783869786,0.3479015931675091,0.8048884895559294,0.6211852139548985,0.28199177890768096,0.5190822500774687
0.7,0.6,0.3,0.2,9.937499999999998,0.11795768526378769,-0.11795768526378769,0.2280187765999527,0.3182217177380072,0.9715628488332726,0.31568790839228883,0.35907577527524165,0.8791679364900213,0.681949926655815,0.3067106436198293,0.5534536244184809
0.85,0.4,0.3,0.6,7.437499999999999,0.10868488998746606,-0.10868488998746606,0.3464899127791883,0.30106704647681226,1.1436371685490228,0.31317548354462926,0.3834662986686086,0.8166962380578726,0.6404639739782374,0.35815912325995086,0.5581273736156868
0.85,0.6,0.1,0.6,8.3125,0.11536760013871705,-0.11536760013871705,0.36390275766287616,0.31343006025662656,1.1429468298961958,0.3259751336388269,0.3896212118041839,0.8366462701796012,0.6579113723903303,0.372572245617486,0.570131099014648
0.7,0.2,0.3,0.4,4.9375,0.11583750017010497,-0.11583750017010497,0.23869470112460045,0.3142993753146942,1.0040775783937588,0.3146582178104417,0.33380455127960285,0.942642083830895,0.7228477307237364,0.3159412613608042,0.5766431740580247
0.7,0.2,0.1,0.6,3.3125,0.11803370906141475,-0.11803370906141475,0.29105470053907007,0.3183623617636173,1.0184375778082284,0.32000591439216114,0.32701633533501545,0.9785624747593346,0.7480676786308239,0.3259060483378599,0.5920418012151112
0.7,0.6,0.2,0.2,9.125,0.14003871158115655,-0.14003871158115655,0.22623805223117915,0.35907161642513963,0.9777821244644991,0.35683783005016145,0.35179577142697815,1.014332345732103,0.7842092652434234,0.3489096515557487,0.6147079611465438
0.7,0.4,0.0,0.4,5.0,0.1352373544001103,-0.1352373544001103,0.26098253125006765,0.3501891056402041,1.0086297870199024,0.3510352817117463,0.3321856069439319,1.0567444054582291,0.8097462121469601,0.3540646414293901,0.6290175055351691
0.85,0.4,0.2,0.6,6.625,0.13500288806853844,-0.13500288806853844,0.3424880049458703,0.3497553429267961,1.1476352607157048,0.3642134848739144,0.3722253154868801,0.9784758578215295,0.7634840272898642,0.41798423766945014,0.6316238736136611
0.85,0.6,0.3,0.4,9.937499999999998,0.1456948143300928,-0.1456948143300928,0.2980187765999527,0.36953540651067174,1.1150628488332723,0.38144094956367797,0.3754838170611552,1.0158652177053813,0.7938167238557852,0.4253306318821433,0.6464495946115904
0.85,0.6,0.0,0.6,7.5,0.14593589211735447,-0.14593589211735447,0.3608612565552808,0.3699814004171058,1.1479053287886005,0.38530362220592623,0.37919031918820645,1.0161219912755355,0.7953355621011723,0.44229208113173246,0.6530342294009244
0.7,0.4,0.3,0.2,7.437499999999999,0.16027816831405706,-0.16027816831405706,0.20648991277918827,0.3965146113810055,0.984137168549023,0.3947534549355133,0.3367849691253151,1.1721231382764845,0.9000437491071446,0.3884915474151804,0.6812006239866126
0.7,0.2,0.2,0.4,4.125,0.15223031737469062,-0.15223031737469062,0.23068244545145825,0.3816260871431777,1.0040653227206164,0.3820604884399737,0.3166215345363715,1.206678784497158,0.9180623808771435,0.38361368762427855,0.688272176739433
0.7,0.6,0.1,0.2,8.3125,0.16696087846530794,-0.16696087846530794,0.22390275766287615,0.4088776251608197,0.983446829896196,0.4069825233141603,0.34293988226089045,1.1867459702588619,0.9138287638282163,0.40024567237646563,0.6913779566575482
