score,net_electric,TBR,fail_rate,wall_load,wall_temp,bootstrap,blanket_model,blanket_attenuation,blanket_front_heating_frac,capex_billion,annual_revenue_musd,annual_cost_musd
970127.5945188346,2442.7980244639243,1.4000000000000001,0.0,6.9635998581691965,70.86224297079808,0.7377984901403873,openmc_dataset,0.1551014048252319,0.2921838368007636,14.675197376009915,1251836.2756167827,1320.7677638408923
926184.5182705055,1809.8232756948273,1.4000000000000001,0.0,5.829043096676475,136.09550254457338,0.276527611886695,openmc_dataset,0.0539288745774948,0.1794368695760611,13.030546019311517,927462.0358625713,1172.7491417380365
904097.5732516806,1766.408817718843,1.4000000000000001,0.0,5.882964052901744,55.50048758841269,0.6115485660402205,openmc_dataset,0.0539288745774948,0.1794368695760611,12.472756709404809,905213.8627281984,1122.548103846433
902487.5813651931,1832.2395525122718,1.4000000000000001,0.0,6.322679445418413,221.66434473447498,0.85,openmc_dataset,0.0940643391478131,0.0673825247520502,12.588633184903891,938949.4810804387,1132.97698664135
891337.2199674706,1741.8578420459617,1.4000000000000001,0.0,5.465785483798805,85.50160728095888,0.5051363987280567,openmc_dataset,0.116170791205715,0.2205965740471138,12.946895721697,892632.4697348734,1165.22061495273
890058.0187749264,1816.4801209612574,1.4000000000000001,0.0,6.344634174694679,150.95015677893673,0.85,openmc_dataset,0.2095937169426268,0.4595982099172934,12.857052379212321,930873.402787806,1157.134714129109
880101.1342996259,1719.858221699257,1.4000000000000001,0.0,5.8646525604371185,101.06741433077579,0.3002957260016746,openmc_dataset,0.3195062927183861,0.1047437492145291,13.027323940463456,881358.5442920012,1172.459154641711
876294.0535408847,1740.7944596802558,1.4000000000000001,0.0,6.22095210288074,104.05388104539782,0.4811821059002089,openmc_dataset,0.1487543753557728,0.200797212756633,12.667371989637445,892087.5288077439,1140.06347906737
874999.6591920131,1783.1520704375039,1.4000000000000001,0.0,6.34606207109122,133.15975013452433,0.7292643929638979,openmc_dataset,0.6606909270370473,0.1090683656491526,12.90207231147677,913794.1100164033,1161.1865080329094
868516.0140341377,2070.6066808710343,1.4000000000000001,0.0,6.798545702617919,144.8524039787663,0.28158230406979223,openmc_dataset,0.1216002734786224,0.1938963211485161,13.747443601400603,1061103.0996791702,1237.2699241260543
866058.3253365458,1727.3354734030233,1.4000000000000001,0.0,6.245045876992487,168.3209531007879,0.4968226405670027,openmc_dataset,0.239601360247685,0.1945378496259082,12.20580684859379,885190.3367001134,1098.522616373441
864150.5258201433,1703.2226745420617,1.4000000000000001,0.0,6.158995729454297,131.06004531461275,0.2341756701680179,openmc_dataset,0.0706174053522328,0.1162649216536859,12.42099625716625,872833.491795825,1117.8896631449625
847915.605091158,1656.7162649421825,1.4000000000000001,0.0,5.831602217113955,92.63830893935675,0.3808705856846399,openmc_dataset,0.1728712773436662,0.0623965700406681,12.198287768073017,849000.8171322709,1097.8458991265716
843681.8230170653,1648.426646890291,1.4000000000000001,0.0,5.30685767699526,74.57653925690836,0.3303520364154465,openmc_dataset,0.1551014048252319,0.2921838368007636,11.887688790025278,844752.7194653985,1069.8919911022751
843066.8708029296,1647.6240138841893,1.4000000000000001,0.0,5.124566435858198,169.82901319278088,0.5638593037476944,openmc_dataset,0.239601360247685,0.1945378496259082,11.958480528830853,844341.4021550915,1076.2632475947767
836605.9011813462,1785.1990290192575,1.4000000000000001,0.0,6.50692217916162,136.1866594696154,0.4634778566982323,openmc_dataset,0.0982297742657773,0.2247484034342099,12.289249618119632,914843.0944112088,1106.0324656307669
834002.9460642072,1790.8228641819849,1.4000000000000001,0.0,6.510680674829154,85.82269724795353,0.85,openmc_dataset,0.0869382240381506,0.0792700402097881,13.105033918662961,917725.0849786999,1179.4530526796666
833436.5823031006,1631.7861914936218,1.4000000000000001,0.0,6.075115629718971,115.59566281763298,0.6383391016466957,openmc_dataset,0.0706174053522328,0.1162649216536859,12.01929349932525,836225.1516928214,1081.7364149392727
