idx,reconn_trigger,conf_trigger,rad_trigger,margin_trigger,tct_pass_rate,tct_fail_pnet,tct_burst_rate,tct_pnet_p05,tct_pnet_p50,tct_pnet_p95,tct_tail_burst_frac,corr_precursor_pburst,corr_pburst_burst
111,0.6,0.55,0.7,0.08,0.2678,0.603,0.3754,-28.266065999038837,-4.052225701097335,23.310254241690554,0.442,0.9111540636184626,0.14344736343836884
112,0.6,0.55,0.7,0.04,0.2766,0.6036,0.3548,-28.291423441851915,-4.192204489050287,22.262252808428144,0.444,0.908266027961375,0.13055616168537362
113,0.6,0.55,0.7,0.02,0.2584,0.6178,0.3696,-28.396822551175735,-4.38670984834955,22.545512387498817,0.408,0.9095117033305895,0.12477945718002015
114,0.6,0.55,0.7,0.01,0.27,0.6022,0.3692,-27.79498483500448,-3.7398334580854273,22.89679890546044,0.418,0.9069669028260298,0.12207958695684822
115,0.6,0.55,0.75,0.15,0.2668,0.6078,0.3624,-27.09442135820794,-4.451237970282966,21.90702897469933,0.396,0.9062857148551614,0.13328160308727569
116,0.6,0.55,0.75,0.08,0.2602,0.6102,0.37,-28.351400820187894,-4.541298533372838,22.420312607671054,0.376,0.9070759525666373,0.11746117519634251
117,0.6,0.55,0.75,0.04,0.2638,0.6116,0.3626,-28.497133515691438,-4.357775557514664,22.733107036374427,0.39,0.9075667016844529,0.13686594711161068
118,0.6,0.55,0.75,0.02,0.2614,0.611,0.373,-27.8368986757874,-4.179930968816321,22.406112894350898,0.426,0.9054502245772664,0.14234082654448774
119,0.6,0.55,0.75,0.01,0.2534,0.6198,0.3732,-28.31321968567766,-4.33999868556173,22.426590021218942,0.402,0.9103722322950998,0.12584659569262127
120,0.6,0.55,0.8,0.15,0.2716,0.6082,0.3584,-28.103902908987234,-4.289573919128028,23.154385139494057,0.376,0.9073643858507828,0.13546795070452244
121,0.6,0.55,0.8,0.08,0.2678,0.6134,0.3628,-28.162114137834287,-4.437211951420787,22.364273460906656,0.382,0.9058397106565187,0.13859094439587996
122,0.6,0.55,0.8,0.04,0.265,0.6118,0.3668,-28.1737600814623,-4.376337785859486,22.0399597396704,0.4,0.9056813753312764,0.14088046998337647
