TBR,blanket_attenuation,blanket_front_heating_frac,blanket_model,bootstrap,capex_billion,fG,frac_cap,lithium_thickness,lithium_velocity,net_electric,ok,score,wall_load
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.775617120724075,0.55,0.8,0.012,0.5,4613.752733502198,True,2209975.092099417,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.775617120724075,0.55,0.8,0.008,0.5,4613.752733502198,True,2209975.0855032266,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.775617120724075,0.55,0.8,0.001,0.5,4613.752733502198,True,2209975.077077566,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.775617120724075,0.55,0.8,0.004,0.5,4613.752733502198,True,2209975.074218362,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.775617120724075,0.55,0.8,0.002,0.5,4613.752733502198,True,2209970.8151312796,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.77551701683272,0.55,0.8,0.002,1.0,4613.715026897147,True,2209955.848221738,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.77551701683272,0.55,0.8,0.008,1.0,4613.715026897147,True,2209955.7862031115,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.77551701683272,0.55,0.8,0.004,1.0,4613.715026897147,True,2209955.7527667917,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.77551701683272,0.55,0.8,0.012,1.0,4613.715026897147,True,2209954.560751387,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.77551701683272,0.55,0.8,0.001,1.0,4613.715026897147,True,2209953.5065270024,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.77471617686595,0.55,0.8,0.004,2.0,4613.413374056742,True,2209802.0094861486,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.77471617686595,0.55,0.8,0.001,2.0,4613.413374056742,True,2209801.966683272,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.77471617686595,0.55,0.8,0.012,2.0,4613.413374056742,True,2209800.127037596,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.77471617686595,0.55,0.8,0.008,2.0,4613.413374056742,True,2209798.7505619233,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.77471617686595,0.55,0.8,0.002,2.0,4613.413374056742,True,2209790.502272459,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.770726043620524,0.55,0.8,0.008,3.5,4611.910496512582,True,2209035.5119484114,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.770726043620524,0.55,0.8,0.002,3.5,4611.910496512582,True,2209035.498473411,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.770726043620524,0.55,0.8,0.004,3.5,4611.910496512582,True,2209035.3276425647,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.770726043620524,0.55,0.8,0.001,3.5,4611.910496512582,True,2209032.8676590445,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.770726043620524,0.55,0.8,0.012,3.5,4611.910496512582,True,2209024.949557248,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.775617120724075,0.55,0.8,0.02,0.5,4613.752733502198,True,2208938.852223689,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.77551701683272,0.55,0.8,0.02,1.0,4613.715026897147,True,2208927.2780885333,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.77471617686595,0.55,0.8,0.02,2.0,4613.413374056742,True,2208773.4282102818,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.770726043620524,0.55,0.8,0.02,3.5,4611.910496512582,True,2208006.9353548973,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.76132838219904,0.55,0.8,0.012,5.0,4608.371462295687,True,2207222.483347552,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.76132838219904,0.55,0.8,0.004,5.0,4608.371462295687,True,2207222.311971867,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.76132838219904,0.55,0.8,0.001,5.0,4608.371462295687,True,2207222.014230764,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.76132838219904,0.55,0.8,0.008,5.0,4608.371462295687,True,2207221.9414712084,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.76132838219904,0.55,0.8,0.002,5.0,4608.371462295687,True,2207221.6661552833,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.76132838219904,0.55,0.8,0.02,5.0,4608.371462295687,True,2206193.951949316,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.750912614881504,0.55,0.8,0.008,6.0,4604.449975370422,True,2205198.4778242195,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.750912614881504,0.55,0.8,0.002,6.0,4604.449975370422,True,2205198.4712798432,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.750912614881504,0.55,0.8,0.001,6.0,4604.449975370422,True,2205198.463825815,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.750912614881504,0.55,0.8,0.004,6.0,4604.449975370422,True,2205195.644468265,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.750912614881504,0.55,0.8,0.012,6.0,4604.449975370422,True,2205186.7891981485,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,21.750912614881504,0.55,0.8,0.02,6.0,4604.449975370422,True,2204169.3224762385,7.200009839363601
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,20.890762400463156,0.85,0.5,0.001,0.5,4284.097147843992,True,2174661.1146420166,6.717467857619063
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,20.890762400463156,0.85,0.5,0.004,0.5,4284.097147843992,True,2174661.113730458,6.717467857619063
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,20.890762400463156,0.85,0.5,0.002,0.5,4284.097147843992,True,2174659.762051562,6.717467857619063
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,20.890762400463156,0.85,0.5,0.012,0.5,4284.097147843992,True,2174656.189606755,6.717467857619063
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,20.890762400463156,0.85,0.5,0.008,0.5,4284.097147843992,True,2174651.6821539705,6.717467857619063
