source_radius_cm,radius_cm,tbr,attenuation,gradient,front_heating_raw,front_heating_corrected,wall_load_raw,wall_load_corrected,wall_temp_raw,wall_temp_corrected,fail_rate,plasmoid_rate,burst_rate,meltdown_rate,spread_credit,healing_credit,net_electric,attenuation_penalty,front_heat_penalty,heat_transport_factor,eta_flow,eta_cond,score,first_wall,li_current,blanket_model,blanket_form,cap_material,cap_be
,55.0,2.2155324684418574,0.999710997755663,0.9998875566052617,0.22262576938787035,0.18756221070928078,619.972827004788,500.62805780636626,22141.886678742427,16329.641425572541,,,,,0.35,0.28,3824.6410801649745,0.23554988778314856,,,,,-1e+18,,,,,,
,55.0,2.2155324684418574,0.999710997755663,0.9998875566052617,0.22262576938787035,0.18756221070928078,619.972827004788,500.62805780636626,22141.886678742427,16329.641425572541,,,,,0.35,0.28,3824.6410801649745,0.23554988778314856,,,,,-1e+18,,,,,,
,55.0,2.2155324684418574,0.999710997755663,0.9998875566052617,0.22262576938787035,0.18756221070928078,619.972827004788,500.62805780636626,22141.886678742427,16329.641425572541,,,,,0.35,0.28,3824.6410801649745,0.23554988778314856,,,,,-1e+18,,,,,,
,55.0,2.2155324684418574,0.999710997755663,0.9998875566052617,0.22262576938787035,0.18756221070928078,619.972827004788,500.62805780636626,22141.886678742427,16329.641425572541,,,,,0.35,0.28,3824.6410801649745,0.23554988778314856,,,,,-1e+18,,,,,,
,55.0,2.2155324684418574,0.999710997755663,0.9998875566052617,0.22262576938787035,0.18756221070928078,619.972827004788,500.62805780636626,22141.886678742427,16329.641425572541,,,,,0.35,0.28,3824.6410801649745,0.23554988778314856,,,,,-1e+18,,,,,,
,60.0,2.205677706616164,0.9996137116918948,0.9998385731000005,0.2234802830089622,0.18828213843505065,477.5369402450075,385.6110792478435,17054.890723035984,12577.981908239039,,,,,0.35,0.28,3470.4606590318404,0.23068558459474198,,,,,-1e+18,,,,,,
,60.0,2.205677706616164,0.9996137116918948,0.9998385731000005,0.2234802830089622,0.18828213843505065,477.5369402450075,385.6110792478435,17054.890723035984,12577.981908239039,,,,,0.35,0.28,3470.4606590318404,0.23068558459474198,,,,,-1e+18,,,,,,
,60.0,2.205677706616164,0.9996137116918948,0.9998385731000005,0.2234802830089622,0.18828213843505065,477.5369402450075,385.6110792478435,17054.890723035984,12577.981908239039,,,,,0.35,0.28,3470.4606590318404,0.23068558459474198,,,,,-1e+18,,,,,,
,60.0,2.205677706616164,0.9996137116918948,0.9998385731000005,0.2234802830089622,0.18828213843505065,477.5369402450075,385.6110792478435,17054.890723035984,12577.981908239039,,,,,0.35,0.28,3470.4606590318404,0.23068558459474198,,,,,-1e+18,,,,,,
,60.0,2.205677706616164,0.9996137116918948,0.9998385731000005,0.2234802830089622,0.18828213843505065,477.5369402450075,385.6110792478435,17054.890723035984,12577.981908239039,,,,,0.35,0.28,3470.4606590318404,0.23068558459474198,,,,,-1e+18,,,,,,
