case,fast_proton_fraction_ne,boron_charge_fraction_5nB_over_ne,hole_cutoff_keV,hole_depth,removed_electron_fraction,shoulder_keV,electron_drag_factor_vs_16p67keV_Maxwellian,mean_electron_energy_keV,Pfusion_W_m3,Pcollision_over_Pfusion,burn_replacement_over_Pfusion,proton_self_shape_over_Pfusion,proton_demand_over_Pfusion,electron_shape_recirc_over_Pfusion,total_phase_shape_recirc_over_Pfusion,Pbrems_over_Pfusion,electron_drag_deposition_over_Pfusion,electron_exhaust_needed_over_Pfusion,electron_heating_deficit_over_Pfusion,proton_loop_closed,DT_alpha_used_over_Pfusion,pB11_alpha_used_over_Pfusion,pB11_alpha_left_over_Pfusion,direct_electric_over_Pfusion_before_other_loads,required_phase_space_energy_recovery_fraction,required_DT_alpha_spatial_concentration_factor_no_recovery,fast_fast_collision_frequency_s-1,electron_collision_operator_number_residual_s-1,electron_collision_operator_energy_residual_keV_s-1
maxwellian_baseline,0.2,0.8,0.5,0.0,0.0,0.0,1.0,25.005008738683596,834775.4617401508,10.01526628967372,0.07333333333333333,0.20346630338955626,10.088599623007052,0.0,0.20346630338955626,0.20489004313564044,9.165124340522159,8.960234297386519,0.0,False,0.9803691137998691,0.98,0.0,0.0,1.0,0.20754050747368968,0.06939632988312584,0.0,0.0
moderate_hole,0.2,0.8,0.35,0.5,0.001196189904784414,0.5249999999999999,0.555946929542296,25.00535800601355,834775.4617401508,5.945464685138216,0.07333333333333333,0.20346630338955626,6.018798018471549,907.0056539617628,907.2091202651524,0.20490392432413232,5.095322735986653,4.890418811662521,0.0,False,0.9803691137998691,0.98,0.0,0.0,1.0,925.3750526154871,0.06939632988312584,1.3642420526593924e-12,-9.833911462919787e-12
deep_hole_best_closed,0.2,0.8,0.5,0.99,0.004020176238749546,0.75,0.018309913992198057,25.006687867833616,834775.4617401508,1.017954587554323,0.07333333333333333,0.20346630338955626,1.0912879208876562,2215.6964034690795,2215.899869772469,0.20494599588227577,0.16781263840276162,0.0,0.037133357479514156,True,0.9803691137998691,0.232173020519749,0.747826979480251,0.6880008211218309,0.9996895162861341,2259.56921507378,0.06939632988312584,-1.8189894035458565e-12,2.5920599000528455e-11
