reference_driver_efficiency,ff_efficiency_needed_to_match_conventional_675,ff_efficiency_needed_to_match_autoresonant_120
0.05,0.0328759905495117,0.02094852021405173
0.1,0.0657519810990234,0.04189704042810346
0.2,0.1315039621980468,0.08379408085620692
0.3,0.19725594329707016,0.12569112128431037
0.5,0.32875990549511697,0.20948520214051727
