stopping_loss_keV,trap_fraction,cases,min_mean_resonance_score,mean_mean_resonance_score,max_mean_resonance_score,min_window_fraction,mean_window_fraction,max_window_fraction,min_exposure_per_delivered_MeV,mean_exposure_per_delivered_MeV,max_exposure_per_delivered_MeV
10.0,0.3,16,0.6776376473383924,0.8228243106260767,0.9364009208620684,0.7135052083333333,0.8901640624999999,0.9895286458333332,14.803342295734277,22.208714072169286,29.26958477841857
10.0,0.45,16,0.672141596398182,0.8408263372785243,0.9605643726752676,0.7100234375000001,0.9082254231770833,0.9991875,12.063931328975835,20.28333779356837,28.43196280020014
10.0,0.6,16,0.6833766390172816,0.8451972830423303,0.968905338157393,0.7271614583333333,0.9112867838541666,0.99996875,10.653144646452123,18.33426649013205,27.19887783164183
10.0,0.75,16,0.6888510056897202,0.849481948022488,0.9723947733536944,0.7328515625,0.9165227864583334,1.0,9.24380289474585,16.753019616926345,25.932297533363837
10.0,0.85,16,0.6964138287039621,0.8485074496258249,0.9735132087612738,0.743203125,0.9141064453125001,0.9999973958333334,8.820505750730339,15.837174942621667,25.08370456318969
10.0,0.95,16,0.6876323358014118,0.8435355831304139,0.9742720350972002,0.7321822916666667,0.9109072265625,1.0,7.8548865061237905,14.771592224045754,24.29282142685745
20.0,0.3,16,0.6337162603004727,0.771937361442577,0.8650277077719627,0.65234375,0.8275074869791667,0.9225833333333332,12.409831735185575,17.44150190566242,21.37743486162932
20.0,0.45,16,0.6795370963329936,0.815104977755928,0.9255239638149976,0.7196979166666667,0.8816551106770834,0.9806901041666668,11.13187628523136,16.66173699953611,22.02422748404615
20.0,0.6,16,0.677640867294127,0.8339453999642512,0.9533714940712044,0.7141901041666667,0.90174609375,0.996375,9.86392972618393,15.82769688439333,21.96157495609696
20.0,0.75,16,0.6928603321693113,0.8452790964424001,0.966330159010214,0.737234375,0.9139353841145833,0.9995859375,8.824427167988803,14.744376728066449,21.54030366538998
20.0,0.85,16,0.6767586220207972,0.8440035088876491,0.9707298502229338,0.7178932291666666,0.9101588541666666,0.9999609375,7.731255727952185,13.975870062059983,21.151858199594656
20.0,0.95,16,0.6948265445899571,0.8502494980563056,0.9734489575161592,0.7410625,0.9154728190104167,1.0,7.664479229333775,13.640881753580093,20.743575694463576
35.0,0.3,16,0.5974742047500179,0.6852595533818711,0.7573144202773189,0.6064244791666666,0.7146272786458333,0.7901822916666668,9.560431166201456,12.037883547592633,14.091719882092075
35.0,0.45,16,0.6389774308501545,0.769274405059419,0.8614219081929333,0.6607916666666667,0.8238323567708333,0.9123645833333334,9.046935156544984,12.663566918670787,15.523344093823708
35.0,0.6,16,0.6611694990908583,0.8117062749002327,0.919308028048457,0.6910390625,0.87508251953125,0.9715625,8.290655042520878,12.600830263600049,16.24613333167216
35.0,0.75,16,0.678589656666964,0.8305638284984291,0.9515689338399668,0.7160651041666667,0.89851708984375,0.99390625,7.768501095135585,12.102237267889869,16.523351690007978
35.0,0.85,16,0.685406614603076,0.8423042886931358,0.9638947940422288,0.7271640625,0.9099200846354166,0.9986848958333332,7.331560391604198,11.845071053817337,16.550902305507638
35.0,0.95,16,0.7001163096841538,0.849596535688187,0.9717591316551408,0.7484348958333333,0.9167791341145833,0.99990625,7.011552417484617,11.67693297566398,16.505453394642068
50.0,0.3,16,0.5460147806284215,0.6200785232257019,0.6719398049788917,0.5391979166666666,0.6299827473958333,0.6812447916666666,7.4102032705347325,8.909726661952456,9.978319008642806
50.0,0.45,16,0.6159800275700067,0.7226311618268938,0.800824272032685,0.6314817708333333,0.7622078450520834,0.8376432291666667,7.471046882151432,9.798544466992999,11.532371918245046
50.0,0.6,16,0.6402364205913265,0.7806959683869996,0.8826841515913044,0.6630260416666667,0.83622216796875,0.9312161458333332,7.051750544285541,10.092060664733289,12.50331152535848
50.0,0.75,16,0.6566734915272849,0.8214939604950005,0.9326063623678956,0.6872760416666668,0.8864554036458333,0.97834375,6.475572848766333,10.167239906980688,13.062995331676108
50.0,0.85,16,0.6739848975517149,0.83444646023025,0.9546625077064596,0.7119817708333334,0.901134765625,0.9938802083333332,6.36095244594754,10.074045545624177,13.282523349814891
50.0,0.95,16,0.6916297991776883,0.8457421098354126,0.9689900121720064,0.735796875,0.91286181640625,0.9993177083333332,6.3338657654187855,9.924830544734412,13.398623116268396
