case,cycle,resonance_score,primary_window_fraction
ff_inject_675keV_3p7pct,30,0.11548037564674248,0.0
ff_inject_675keV_3p7pct,31,0.06523618400939647,0.0
ff_inject_675keV_3p7pct,32,0.03150847549630282,0.0
ff_rephase_675keV,1,0.9742914530358464,1.0
ff_rephase_675keV,2,0.9701221157469612,1.0
ff_rephase_675keV,3,0.9715067155158135,0.999975
ff_rephase_675keV,4,0.9691347609988161,0.9999666666666667
ff_rephase_675keV,5,0.966791689211862,0.9999666666666667
ff_rephase_675keV,6,0.9677356107517638,0.9999083333333333
ff_rephase_675keV,7,0.9583009824911278,0.999925
ff_rephase_675keV,8,0.9713470989282468,0.999875
ff_rephase_675keV,9,0.9703313996988172,0.9999
ff_rephase_675keV,10,0.9624307689163792,0.999925
ff_rephase_675keV,11,0.9669586818475862,0.9999583333333333
ff_rephase_675keV,12,0.9675393698654026,0.9999416666666666
ff_rephase_675keV,13,0.9650694489729806,0.9999
ff_rephase_675keV,14,0.9668597454260571,0.9998416666666666
ff_rephase_675keV,15,0.9614468399570035,0.99985
ff_rephase_675keV,16,0.971818528337985,0.9998583333333333
ff_rephase_675keV,17,0.9715433512920172,0.9999
ff_rephase_675keV,18,0.9663665315055152,0.9998833333333333
ff_rephase_675keV,19,0.972067530715384,0.9999333333333333
ff_rephase_675keV,20,0.9710491161121444,0.9999583333333333
ff_rephase_675keV,21,0.969440506577158,0.9999416666666666
ff_rephase_675keV,22,0.9710874215769557,0.999925
ff_rephase_675keV,23,0.9603804762353648,0.999975
ff_rephase_675keV,24,0.9706068650341556,0.9999666666666667
ff_rephase_675keV,25,0.9645373423742204,0.9999583333333333
ff_rephase_675keV,26,0.967693318808739,0.9999666666666667
ff_rephase_675keV,27,0.9722671002062986,0.9999333333333333
ff_rephase_675keV,28,0.9547974182464185,0.9999083333333333
ff_rephase_675keV,29,0.9640981618170184,0.9998666666666667
ff_rephase_675keV,30,0.9620889826218186,0.9998416666666666
ff_rephase_675keV,31,0.9661380949472466,0.9998666666666667
ff_rephase_675keV,32,0.9704534829208378,0.9999
ff_rephase_sync_sheet_675keV,1,0.9687873451597101,1.0
ff_rephase_sync_sheet_675keV,2,0.9739093470118326,1.0
ff_rephase_sync_sheet_675keV,3,0.9707773312312779,1.0
ff_rephase_sync_sheet_675keV,4,0.9705679884335484,1.0
ff_rephase_sync_sheet_675keV,5,0.9717681574369125,1.0
ff_rephase_sync_sheet_675keV,6,0.9725671430074442,0.9999916666666666
ff_rephase_sync_sheet_675keV,7,0.9706053453508932,0.9999916666666666
ff_rephase_sync_sheet_675keV,8,0.9735863209044425,1.0
ff_rephase_sync_sheet_675keV,9,0.9726720034577873,1.0
ff_rephase_sync_sheet_675keV,10,0.9721927335683701,1.0
ff_rephase_sync_sheet_675keV,11,0.9730925688654153,0.9999916666666666
ff_rephase_sync_sheet_675keV,12,0.9727324753064781,1.0
ff_rephase_sync_sheet_675keV,13,0.9679174465979543,0.9999916666666666
ff_rephase_sync_sheet_675keV,14,0.97225889531582,1.0
ff_rephase_sync_sheet_675keV,15,0.9715736926741038,1.0
ff_rephase_sync_sheet_675keV,16,0.9720758504282339,0.999975
ff_rephase_sync_sheet_675keV,17,0.9708214574082766,0.999975
ff_rephase_sync_sheet_675keV,18,0.9711539406574227,0.9999833333333333
ff_rephase_sync_sheet_675keV,19,0.9690030427633339,0.999975
ff_rephase_sync_sheet_675keV,20,0.9734341549900797,0.9999916666666666
ff_rephase_sync_sheet_675keV,21,0.9725771701710859,0.9999916666666666
ff_rephase_sync_sheet_675keV,22,0.9721824932963297,0.9999916666666666
ff_rephase_sync_sheet_675keV,23,0.9662852833544787,0.9999916666666666
ff_rephase_sync_sheet_675keV,24,0.9730823299159809,0.9999833333333333
ff_rephase_sync_sheet_675keV,25,0.9731257456084313,0.9999916666666666
ff_rephase_sync_sheet_675keV,26,0.9711588957595544,0.9999916666666666
ff_rephase_sync_sheet_675keV,27,0.9696179354393877,0.9999916666666666
ff_rephase_sync_sheet_675keV,28,0.9719550170746246,1.0
ff_rephase_sync_sheet_675keV,29,0.9734513311745709,0.9999916666666666
ff_rephase_sync_sheet_675keV,30,0.9709393852465255,0.9999916666666666
ff_rephase_sync_sheet_675keV,31,0.9701769723149907,0.9999916666666666
ff_rephase_sync_sheet_675keV,32,0.9714367890704214,0.9999833333333333
