case,cycles,initial_keV,initial_spread_pct,mean_resonance_score,cumulative_resonance_exposure,mean_primary_window_fraction,final_primary_window_fraction,final_mean_keV,final_std_keV,injector_delivered_keV_per_initial_proton,rephase_delivered_keV_per_initial_proton,total_delivered_keV_per_initial_proton,exposure_per_delivered_MeV,relative_exposure_vs_autoresonant_120,relative_exposure_vs_conventional_675,cycles_primary_window_gt_50pct,cycles_resonance_score_gt_50pct
autoresonant_hold_120keV,32,120.0,8.0,0.2131932065822772,6.822182610632871,0.0,0.0,120.04301396675403,9.620979461255406,120.04348074784362,656.2036047226453,776.247085470489,8.78867404248983,1.0,0.7327679367520799,0,0
conventional_inject_675keV,32,675.0,8.0,0.2909423241514013,9.310154372844845,0.21126901041666668,0.0,45.08805852368167,44.95904967187232,675.0066134286374,0.0,675.0066134286374,13.792686156887749,1.3646885321325595,1.0,7,7
ff_inject_675keV_3p7pct,32,675.0,3.7,0.29442495886278697,9.421598683609185,0.21168229166666666,0.0,37.827795568390385,29.3553933871667,675.0742275518147,0.0,675.0742275518147,13.956389237042883,1.381024112272359,1.011970189354689,7,7
ff_rephase_675keV,32,675.0,3.7,0.9673844034591856,30.956300910693944,0.9999223958333333,0.9999,662.8669587234721,25.775300348126944,674.9093000659915,809.0115636620857,1483.9208637280772,20.86115349367213,4.537594883849383,3.325004040855106,32,32
ff_rephase_sync_sheet_675keV,32,675.0,3.7,0.9714839559061162,31.08748658899572,0.9999924479166666,0.9999833333333333,648.9420239549895,26.121885284413754,675.0944944378738,806.8966183628996,1481.9911128007734,20.97683739158486,4.556824166586159,3.3390946426913555,32,32
