E_lab_keV,ffast,Pbrems_over_Pfusion,collision_over_Pfusion,fast_loop_deficit_after_pb11_plus_DT_alpha_over_Pfusion,total_nonradiative_drag_over_Pfusion,electron_nonradiative_drag_over_Pfusion,required_total_drag_recovery_fraction,required_electron_exhaust_recovery_fraction,brems_gate_Pbrems_le_Pfusion
584.0,0.04,0.9967509001847298,8.317536489883524,4.7087322367181885,7.320785589698795,6.380571471314577,0.6432004023371383,0.7379797025842353,True
586.0,0.04,0.9928077506408821,8.309034466082403,4.711509772529562,7.316226715441521,6.381331566533852,0.6439808327133326,0.7383270597062412,True
588.0,0.04,0.9890287628545953,8.301722648192978,4.7150174022703375,7.3126938853383825,6.382942542700763,0.6447716089584623,0.7386902468144905,True
590.0,0.04,0.9854133102096078,8.295607730367678,4.719263574670058,7.310194420158069,6.38541326004565,0.6455729223365873,0.7390694043561904,True
592.0,0.04,0.9819611478306576,8.290699575993942,4.724258837681023,7.3087384281632835,6.3887549947920945,0.6463849929936881,0.739464706587134,True
594.0,0.04,0.9786696849822214,8.286988168228557,4.730000434618938,7.308318483246335,6.392963671635747,0.6472077599603848,0.7398760070552204,True
596.0,0.04,0.9755379766033833,8.284477218164987,4.736494723867427,7.308939241561604,6.398045735077412,0.6480413323090428,0.7403033551166259,True
598.0,0.04,0.9725636895495929,8.283158529089995,4.743740046914461,7.310594839540403,6.403998388619756,0.6488856448803948,0.7407466022078235,True
600.0,0.04,0.9697456815603533,8.283033853542525,4.751741356423593,7.313288171982172,6.4108264622405375,0.6497407519955138,0.7412057375770696,True
602.0,0.04,0.9670823679707398,8.284101048816153,4.760500949932892,7.317018680845412,6.418531728143667,0.6506066415266909,0.7416806758248585,True
604.0,0.04,0.9645721845875297,8.286357998717296,4.770021094145746,7.321785814129766,6.427115927116312,0.6514832877165622,0.7421713173121395,True
606.0,0.04,0.96221405280259,8.289806622991655,4.780306730610313,7.327592570189065,6.43658388254658,0.6523707049513224,0.742677609402804,True
608.0,0.04,0.9600082087717465,8.294460101046297,4.791370375183553,7.334451892274551,6.446949132349604,0.653269043898202,0.7431996556543837,True
610.0,0.04,0.9579528305028907,8.300313808754096,4.803212509350013,7.342360978251204,6.458211361904772,0.654178202839332,0.7437372734009379,True
612.0,0.04,0.9560463381291483,8.307365052390413,4.815834866337387,7.3513187142612635,6.470369331406616,0.6550982685373496,0.7442904199344312,True
