E_lab_keV,ffast,mean_Ecm_keV,sigma_v_m3_s,sigma_path_m2,collision_over_fusion,replacement_over_fusion,basic_demand_over_fusion,electron_drag_fraction,Pfusion_W_m3,phase_shape_gross_over_fusion,Pbrems_over_fusion
560.0,0.04,520.110886899411,9.326315878589648e-22,8.99812121036958e-29,8.515419581410269,0.06436781609195402,8.579787397502223,0.8803410000271032,178417.4251801156,0.039797905661241036,1.0577885922291523
580.0,0.04,538.4370351626847,9.81481900070026e-22,9.307172943074053e-29,8.338151741550748,0.06666666666666667,8.404818408217414,0.8858989951874189,187762.75192800214,0.037159345899432705,1.005140343718399
584.0,0.04,542.1022628052447,9.897428276281853e-22,9.353825859839263e-29,8.317536489883524,0.06712643678160919,8.384662926665133,0.8869600248189131,189343.11167960547,0.036722781251138585,0.9967509001847298
590.0,0.04,547.6001030450328,1.0011302305018884e-21,9.414002295071897e-29,8.295607730367678,0.067816091954023,8.3634238223217,0.8885215899581318,191521.58292877144,0.036120002437683645,0.9854133102096078
600.0,0.04,556.7631669021392,1.0173049214330281e-21,9.487406476216492e-29,8.283033853542525,0.06896551724137931,8.351999370783904,0.891046961089545,194615.88806124407,0.03524825176133713,0.9697456815603533
616.0,0.04,571.4240609496226,1.03553763347235e-21,9.533471937098691e-29,8.325028322389263,0.07080459770114944,8.395832920090413,0.8948973677896704,198103.90367046685,0.03417496746212799,0.9526713684772278
638.0,0.04,591.582774566575,1.044750397102023e-21,9.454234802290131e-29,8.508119417010095,0.07333333333333333,8.581452750343427,0.8998388980306311,199866.354767982,0.03328445638036022,0.9442705713501021
650.0,0.04,602.57842917835,1.042053768754305e-21,9.344176313286692e-29,8.670635564378358,0.07471264367816093,8.745348208056518,0.9023757264031124,199350.47530096534,0.03306111875048948,0.9467141561889754
660.0,0.04,611.7414708531993,1.0357684830714443e-21,9.218674665082644e-29,8.841156805624758,0.07586206896551724,8.917018874590275,0.9044101451420022,198148.06643699808,0.03300879669054719,0.952459039364037
700.0,0.04,648.393604276786,9.77545782177901e-22,8.453676250344875e-29,9.868418649195965,0.08045977011494253,9.948878419310908,0.9118906771476349,187009.75146280177,0.033960824559703305,1.0091875719537788
560.0,0.2,520.110886899411,9.326315878589648e-22,8.99812121036958e-29,10.01471417940009,0.06436781609195401,10.079081995492045,0.8982550501983259,743405.9382504816,0.23878743396744614,0.2202997729270631
580.0,0.2,538.4370351626847,9.81481900070026e-22,9.307172943074053e-29,9.815503791462758,0.06666666666666667,9.882170458129423,0.9030725765886609,782344.7997000089,0.22295607539659623,0.20933501373308805
584.0,0.2,542.1022628052447,9.897428276281853e-22,9.353825859839263e-29,9.793000964183385,0.06712643678160919,9.860127400964995,0.9039912155811146,788929.6319983563,0.22033668750683152,0.20758779078227424
590.0,0.2,547.6001030450328,1.0011302305018884e-21,9.414002295071897e-29,9.769773044418727,0.067816091954023,9.837589136372749,0.9053426158511708,798006.595536548,0.21672001462610177,0.20522657369654632
600.0,0.2,556.7631669021392,1.0173049214330281e-21,9.487406476216492e-29,9.759148282302704,0.06896551724137931,9.828113799544083,0.9075265910880599,810899.533588517,0.21148951056802281,0.20196356343240415
616.0,0.2,571.4240609496226,1.03553763347235e-21,9.533471937098691e-29,9.815037508885382,0.07080459770114943,9.88584210658653,0.9108528735507583,825432.9319602788,0.20504980477276788,0.19840759079029863
638.0,0.2,591.582774566575,1.044750397102023e-21,9.454234802290131e-29,10.039306777113172,0.07333333333333332,10.112640110446506,0.9151153923857118,832776.478199925,0.19970673828216132,0.19665800328944272
650.0,0.2,602.57842917835,1.042053768754305e-21,9.344176313286692e-29,10.235469777534872,0.07471264367816091,10.310182421213034,0.9173008648363534,830626.9804206889,0.19836671250293683,0.19716691517324114
660.0,0.2,611.7414708531993,1.0357684830714443e-21,9.218674665082644e-29,10.440363187584412,0.07586206896551724,10.516225256549928,0.91905215550054,825616.9434874924,0.19805278014328304,0.19836337018160097
700.0,0.2,648.393604276786,9.77545782177901e-22,8.453676250344875e-29,11.668202442074293,0.08045977011494253,11.748662212189236,0.9254812650773879,779207.2977616742,0.20376494735821984,0.21017790754739854
