density_multiplier,density_note,burn23_residence_s,local_Pfusion_W_m3,B_for_beta1_T,total_pressure_Pa,pass_budget,required_boron_column_per_encounter_m2,effective_path_per_encounter_m,collision_loss_per_encounter_eV
1.0,,10.305451098326596,189343.11167960547,1.5191351758311076,918233.1769725127,,,,
13.513513513513514,repo_volume_compression_equivalent_if_particle_conserving,0.7626033812761681,34576901.32936551,5.58445197104039,12408556.445574498,,,,
30.0,,0.34351503661088656,170408800.5116449,8.320646037022744,27546995.309175383,,,,
100.0,,0.10305451098326597,1893431116.7960546,15.191351758311075,91823317.69725128,,,,
300.0,,0.034351503661088655,17040880051.164492,26.312193081045585,275469953.09175384,,,,
1000.0,,0.010305451098326597,189343111679.60547,48.039272293066745,918233176.9725127,,,,
1.0,hardware_100k,10.309138253196574,189343.11167960547,1.5191351758311076,918233.1769725127,100000.0,2.798784490418767e+22,1090.4357706544931,189.50822483212775
1.0,effective_419246,10.309138253196574,189343.11167960547,1.5191351758311076,918233.1769725127,419246.468,6.675749717750196e+21,260.0942056486193,45.2021040835883
